Sr,source,target,value
1,0,1,1
2,0,2,1
3,0,3,1
4,0,4,1
5,0,5,1
6,0,6,1
7,0,7,1
8,0,8,1
9,0,9,1
10,0,10,1
11,0,11,1
12,0,12,1
13,0,13,1
14,0,14,1
15,0,15,1
16,0,16,1
17,0,17,1
18,0,18,1
19,0,19,1
20,0,20,1
21,0,21,1
22,0,22,1
1,1,23,1
2,5,23,1
3,12,23,1
4,16,23,1
5,18,23,1
6,22,24,1
7,2,24,1
8,3,24,1
9,6,24,1
10,7,24,1
11,10,24,1
12,11,24,1
13,13,24,1
14,14,24,1
15,15,24,1
16,17,24,1
17,20,24,1
18,21,25,1
19,4,25,1
20,19,25,1
21,9,25,1
22,8,25,1
23,23,27,5
24,24,27,12
25,25,27,4
26,25,26,1
27,27,28,1
28,27,29,1
29,27,30,1
30,27,31,1
31,27,32,1
32,27,33,1
33,27,34,1
34,26,35,1
35,27,36,1
36,27,37,1
37,27,38,1
38,27,39,1
39,27,40,1
40,27,41,1
41,27,42,1
42,27,43,1
43,27,44,1
44,27,45,1
45,27,46,1
46,27,47,1
47,27,48,1
48,27,49,1
49,28,51,1
50,29,50,1
51,30,51,1
52,31,50,1
53,32,51,1
54,33,51,1
55,34,50,1
57,36,52,1
58,37,51,1
59,38,50,1
60,39,51,1
61,40,52,1
62,41,52,1
63,42,52,1
64,43,51,1
65,44,50,1
66,45,51,1
67,46,51,1
68,47,51,1
69,48,52,1
70,49,51,1
71,50,54,5
72,51,54,11
73,52,54,5
74,52,53,1
75,35,55,1
76,55,53,1
