,name,id
0,Top 5 zone Selection Round,0
1,Abhijit Anil Kumar,1
2,Anantha Gopan,2
3,Ancy Mary,3
4,Aparna Narayanan,4
5,Aruna Sivaya,5
6,Chanderan Chan,6
7,Dinesh Kumar,7
8,Emmanual EsclEen,8
9,Gowri Sankar,9
10,Hari Vignesh,10
11,Karthik,11
12,Keshav Ram,12
13,Lakshmi,13
14,Lavanya,14
15,Nishchitha Gowda,15
16,Pooja Venkatraman,16
17,Prasanna Adhisesha,17
18,Priya Jerson,18
19,Priya Padmanabhan,19
20,Sashank,20
21,Sneha Padmanabhan,21
22,Yazhini,22
23,Imunity,23
24,Safe,24
25,Voting,25
24,Eliminated,26
25,Time Travel,27
26,Abhijit Anil Kumar,28
27,Anantha Gopan,29
28,Ancy Mary,30
29,Aparna Narayanan,31
30,Aruna Sivaya,32
31,Chanderan Chan,33
32,Dinesh Kumar,34
33,Emmanual EsclEen,35
34,Gowri Sankar,36
35,Hari Vignesh,37
36,Karthik,38
37,Keshav Ram,39
38,Lakshmi,40
39,Lavanya,41
40,Nishchitha Gowda,42
41,Pooja Venkatraman,43
42,Prasanna Adhisesha,44
43,Priya Jerson,45
44,Priya Padmanabhan,46
45,Sashank,47
46,Sneha Padmanabhan,48
47,Yazhini,49
48,Imunity2,50
49,Safe2,51
50,Voting2,52
51,Eliminated2,53
52,Thara Local Round,54
53,Eliminated1.5,55
