Sr,Name,Stages,Stay,Safe,Stage_Position,Votes,Leaving,Danger_Position
0,Abhijit Anil Kumar,1,,2,,,,1
4,Aruna Sivaya,1,,2,,,,5
11,Keshav Ram,1,,2,,,,4
15,Pooja Venkatraman,1,,2,,,,2
17,Priya Jerson,1,,2,,,,3
21,Yazhini,1,,2,,,,1
1,Anantha Gopan,1,,1,,,,
2,Ancy Mary,1,,1,,,,
5,Chanderan Chan,1,,1,,,,
6,Dinesh Kumar,1,,1,,,,
9,Hari Vignesh,1,,1,,,,
10,Karthik,1,,1,,,,
12,Lakshmi,1,,1,,,,
13,Lavanya,1,,1,,,,
14,Nishchitha Gowda,1,,1,,,,
16,Prasanna Adhisesha,1,,1,,,,
19,Sashank,1,,1,,,,
20,Sneha Padmanabhan,1,,0,,95793,,
3,Aparna Narayanan,1,,0,,88516,,
18,Priya Padmanabhan,1,,0,,83756,,
8,Gowri Sankar,1,,0,,80043,,
7,Emmanual EsclEen,1,,0,,79589,1,
1,Anantha Gopan,2,,2,,,,4
3,Aparna Narayanan,2,,2,,,,1
6,Dinesh Kumar,2,,2,,,,2
9,Karthik,2,,2,,,,3
15,Prasanna Adhisesha,2,,2,,,,5
19,Sneha Padmanabhan,2,,0,,176183,,
11,Lakshmi,2,,0,,154749,,
7,Gowri Sankar,2,,0,,98630,,
13,Nishchitha Gowda,2,,0,,92554,,
12,Lavanya,2,,0,,80864,1,
0,Abhijit Anil Kumar,2,,,,,,
2,Ancy Mary,2,,,,,,
4,Aruna Sivaya,2,,,,,,
5,Chanderan Chan,2,,,,,,
8,Hari Vignesh,2,,,,,,
10,Keshav Ram,2,,,,,,
14,Pooja Venkatraman,2,,,,,,
16,Priya Jerson,2,,,,,,
17,Priya Padmanabhan,2,,,,,,
18,Sashank,2,,,,,,
20,Yazhini,2,,,,,,
0,Abhijit Anil Kumar,3,,2,1,,,
4,Aruna Sivaya,3,,2,2,,,
14,Pooja Venkatraman,3,,2,4,,,
18,Sashank,3,,2,3,,,
20,Yazhini,3,,2,5,,,
7,Gowri Sankar,3,,0,,,,
10,Keshav Ram,3,,0,,,,
11,Lakshmi,3,,0,,,,
13,Nishchitha Gowda,3,,0,,,,
17,Priya Padmanabhan,3,,0,,,,
1,Anantha Gopan,3,,,,,,
2,Ancy Mary,3,,,,,,
3,Aparna Narayanan,3,,,,,,
5,Chanderan Chan,3,,,,,,
6,Dinesh Kumar,3,,,,,,
8,Hari Vignesh,3,,,,,,
9,Karthik,3,,,,,,
12,Lavanya,3,,,,,,
15,Prasanna Adhisesha,3,,,,,,
16,Priya Jerson,3,,,,,,
19,Sneha Padmanabhan,3,,,,,,
